Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,19981103,General,Nevada,"223,892","Guinn, Kenny",Challenger,"182,281","Jones, Jan Laverty",Challenger,N/A,N/A,N/A,N/A,"27,457","41,611",R,0.00,55.12,44.88,
Governor,N/A,19981103,General,New Hampshire,"98,473","Lucas, Jay",Challenger,"210,769","Shaheen, Jeanne",Incumbent,N/A,N/A,N/A,N/A,"9,698","112,296",D,0.00,31.84,68.16,
Governor,N/A,19981103,General,New Mexico,"271,948","Johnson, Gary E.",Incumbent,"226,755","Chavez, Martin J.",Challenger,N/A,N/A,N/A,N/A,N/A,"45,193",R,0.00,54.53,45.47,
Governor,N/A,19981103,General,New York,"2,571,991","Pataki, George E.",Incumbent,"1,570,317","Vallone, Peter F.",Challenger,N/A,N/A,N/A,N/A,"592,928","1,001,674",R,0.00,62.09,37.91,
Governor,N/A,19981103,General,Ohio,"1,678,721","Taft, Robert Alphonso",Challenger,"1,498,956","Fisher, Lee",Challenger,N/A,N/A,N/A,N/A,"176,536","179,765",R,0.00,52.83,47.17,
Governor,N/A,19981103,General,Oklahoma,"505,498","Keating, Frank",Incumbent,"357,552","Boyd, Laura",Challenger,N/A,N/A,N/A,N/A,"10,535","147,946",R,0.00,58.57,41.43,
Governor,N/A,19981103,General,Oregon,"334,001","Sizemore, Bill",Challenger,"717,061","Kitzhaber, John",Incumbent,N/A,N/A,N/A,N/A,"62,036","383,060",D,0.00,31.78,68.22,
Governor,N/A,19981103,General,Pennsylvania,"1,736,844","Ridge, Thomas J.",Incumbent,"938,745","Itkin, Ivan",Challenger,Constitution,"315,761","Luksik, Peg",Challenger,"33,802","798,099",R,10.44,64.91,35.09,"The other vote was: Scattered Write-Ins (Other) 33,802"
Governor,N/A,19981103,General,Rhode Island,"156,180","Almond, Lincoln C.",Incumbent,"129,105","York, Myrth",Challenger,N/A,N/A,N/A,N/A,"21,098","27,075",R,0.00,54.75,45.25,
Governor,N/A,19981103,General,South Carolina,"484,088","Beasley, David",Incumbent,"570,070","Hodges, James H.",Challenger,N/A,N/A,N/A,N/A,"16,711","85,982",D,0.00,45.92,54.08,
Governor,N/A,19981103,General,South Dakota,"166,621","Janklow, William J.",Incumbent,"85,473","Hunhoff, Bernie",Challenger,N/A,N/A,N/A,N/A,"8,093","81,148",R,0.00,66.09,33.91,
Governor,N/A,19981103,General,Tennessee,"669,973","Sundquist, Don",Incumbent,"287,750","Hooker, John Jay Jr.",Challenger,N/A,N/A,N/A,N/A,"18,513","382,223",R,0.00,69.95,30.05,
Governor,N/A,19981103,General,Texas,"2,551,454","Bush, George W.",Incumbent,"1,165,444","Mauro, Garry",Challenger,N/A,N/A,N/A,N/A,"21,585","1,386,010",R,0.00,68.64,31.36,
Governor,N/A,19981103,General,Vermont,"89,726","Dwyer, Ruth",Challenger,"121,425","Dean, Howard B.",Incumbent,N/A,N/A,N/A,N/A,"6,969","31,699",D,0.00,42.49,57.51,
Governor,N/A,19981103,General,Wisconsin,"1,047,716","Thompson, Tommy G.",Incumbent,"679,553","Garvey, Ed",Challenger,N/A,N/A,N/A,N/A,"28,745","368,163",R,0.00,60.66,39.34,
Governor,N/A,19981103,General,Wyoming,"97,235","Geringer, Jim",Incumbent,"70,754","Vinich, John P.",Challenger,N/A,N/A,N/A,N/A,"6,899","26,481",R,0.00,57.88,42.12,
Governor,N/A,19981103,General,Arkansas,"421,989","Huckabee, Mike",Incumbent,"272,923","Bristow, Bill",Challenger,N/A,N/A,N/A,N/A,"11,099","149,066",R,0.00,60.73,39.27,
,,,,,,,,,,,,,,,,,,,,,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll,,,,,,,
N/A,United States,"57,948,447","29,586,698","24,659,702","1,335,936","2,366,111","4,926,996",R,51.06,42.55,2.31,4.08,54.54,45.46,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GUBERNATORIAL ELECTIONS 1997 to 1997,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,19971104,General,New Jersey,"1,133,394","Whitman, Christine T.",Incumbent,"1,107,968","McGreevey, James",Challenger,N/A,N/A,N/A,N/A,"176,982","25,426",R,0.00,50.57,49.43,
Governor,N/A,19971104,General,Virginia,"969,062","Gilmore, James S. III",Challenger,"738,971","Beyer, Donald S. Jr.",Challenger,N/A,N/A,N/A,N/A,"28,281","230,091",R,0.00,56.74,43.26,
,,,,,,,,,,,,,,,,,,,,,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll,,,,,,,
N/A,United States,"4,154,658","2,102,456","1,846,939",N/A,"205,263","255,517",R,50.60,44.45,0.00,4.94,53.23,46.77,,,,,,,
