GUBERNATORIAL ELECTIONS 2009 to 2009,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,20091103,General,New Jersey,"1,174,445","Christie, Chris",Challenger,"1,087,731","Corzine, Jon S.",Incumbent,Independent,"139,579","Daggett, Christopher J.",Challenger,"22,037","86,714",R,5.76,51.92,48.08,"The other vote was: Kaplan, Kenneth R. (Independent) 4,830; Steele, Gary T. (Independent) 3,585; Cullen, Jason (Independent) 2,869; Meiswinkle, David R. (Independent) 2,598; Petris, Kostas (Independent) 2,563; Pason, Gregory J. (Independent) 2,085; Stein, Gary (Independent) 1,625; Leinsdorf, Joshua (Independent) 1,021; Lindsay, Alvin Jr. (Independent) 753; Choice, Personal (Independent) 108"
Governor,N/A,20091103,General,Virginia,"1,163,651","McDonnell, Robert F.",Challenger,"818,950","Deeds, R. Creigh",Challenger,Write-in,"2,502",Scattered Write-Ins,Challenger,N/A,"344,701",R,0.13,58.69,41.31,  
,,,,,,,,,,,,,,,,,,,,,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll,,,,,,,
N/A,United States,"4,408,895","2,338,096","1,906,681","142,081","22,037","431,415",R,53.03,43.25,3.22,0.50,55.08,44.92,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GUBERNATORIAL ELECTIONS 2008 to 2008,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,20081104,General,Delaware,"126,662","Lee, William Swain",Challenger,"266,861","Markell, Jack",Challenger,N/A,N/A,N/A,N/A,"1,681","140,199",D,0.00,32.19,67.81,
Governor,N/A,20081104,General,Indiana,"1,563,885","Daniels, Mitch",Incumbent,"1,082,463","Thompson, Jill Long",Challenger,N/A,N/A,N/A,N/A,"57,404","481,422",R,0.00,59.10,40.90,
Governor,N/A,20081104,General,Missouri,"1,136,364","Hulshof, Kenny",Challenger,"1,680,611","Nixon, Jay W.",Challenger,N/A,N/A,N/A,N/A,"60,803","544,247",D,0.00,40.34,59.66,
Governor,N/A,20081104,General,Montana,"158,268","Brown, Roy",Challenger,"318,670","Schweitzer, Brian",Incumbent,N/A,N/A,N/A,N/A,"9,796","160,402",D,0.00,33.18,66.82,
Governor,N/A,20081104,General,New Hampshire,"188,555","Kenney, Joseph D.",Challenger,"479,042","Lynch, John",Incumbent,N/A,N/A,N/A,N/A,"15,313","290,487",D,0.00,28.24,71.76,
Governor,N/A,20081104,General,North Dakota,"235,009","Hoeven, John",Incumbent,"74,279","Mathern, Tim",Challenger,N/A,N/A,N/A,N/A,"6,404","160,730",R,0.00,75.98,24.02,
Governor,N/A,20081104,General,Utah,"734,049","Huntsman, Jon Jr.",Incumbent,"186,503","Springmeyer, Bob",Challenger,N/A,N/A,N/A,N/A,"24,973","547,546",R,0.00,79.74,20.26,
Governor,N/A,20081104,General,Vermont,"170,492","Douglas, Jim",Incumbent,"69,534","Symington, Gaye",Challenger,Independent,"69,791","Pollina, Anthony",Challenger,"9,268","100,701",R,21.87,71.03,28.97,"The other vote was: Scattered Write-Ins (Other) 9,268"
Governor,N/A,20081104,General,Washington,"1,404,124","Rossi, Dino",Challenger,"1,598,738","Gregoire, Christine",Incumbent,N/A,N/A,N/A,N/A,N/A,"194,614",D,0.00,46.76,53.24,
Governor,N/A,20081104,General,West Virginia,"181,612","Weeks, Russ",Challenger,"492,697","Manchin, Joe III",Incumbent,N/A,N/A,N/A,N/A,"31,737","311,085",D,0.00,26.93,73.07,
Governor,N/A,20081104,General,North Carolina,"2,001,168","McCrory, Pat",Challenger,"2,146,189","Perdue, Bev",Challenger,N/A,N/A,N/A,N/A,"121,584","145,021",D,0.00,48.25,51.75,
,,,,,,,,,,,,,,,,,,,,,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll,,,,,,,
N/A,United States,"16,704,529","7,900,188","8,395,587","69,791","338,963","495,399",D,47.29,50.26,0.42,2.03,48.48,51.52,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GUBERNATORIAL ELECTIONS 2007 to 2007,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,20071106,General,Kentucky,"435,773","Fletcher, Ernest",Incumbent,"619,552","Beshear, Steven L.",Challenger,N/A,N/A,N/A,N/A,N/A,"183,779",D,0.00,41.29,58.71,
